id,title,is_active,created_at,slug,description,is_category,order,updated_at,parent_id
46,Программа «Женский круг силы»,t,2026-02-17 11:27:03.166179+00,programma-zhenskiy-krug-sily,Формат поддержки и внутренней опоры в группе.,f,30,2026-02-17 11:27:03.166184+00,43
44,Программа «Перезагрузка в природе»,t,2026-02-17 11:27:03.16413+00,programma-perezagruzka-v-prirode,Восстановление ресурса через ритм природы и структурные практики.,f,10,2026-02-17 11:28:15.995342+00,43
34,Экскурсия в Братство лосей,t,2026-02-17 11:27:03.149702+00,ekskursiya-v-bratstvo-losey,Авторская прогулка по природным маршрутам с погружением в локальную историю места.,f,10,2026-02-17 11:27:03.149716+00,
35,Утренние энергетические практики,t,2026-02-17 11:27:03.154996+00,utrennie-energeticheskie-praktiki,"Мягкий утренний формат для включения тела, дыхания и внимания.",f,20,2026-02-17 11:27:03.155008+00,
36,Чайная церемония,t,2026-02-17 11:27:03.156533+00,chaynaya-tseremoniya,Сценарий замедления с чайным ритуалом и внимательным общением.,f,30,2026-02-17 11:27:03.156543+00,
37,Мастер-классы,t,2026-02-17 11:27:03.157692+00,master-klassy,Практические форматы с ведущим и результатом за одну встречу.,t,40,2026-02-17 11:27:03.157702+00,
38,Мастер-класс по свечеварению,t,2026-02-17 11:27:03.158093+00,master-klass-po-svechevareniyu,"Практика создания свечей с подбором формы, аромата и состава.",f,10,2026-02-17 11:27:03.158099+00,37
39,Мастер-класс по созданию травяных сборов,t,2026-02-17 11:27:03.159372+00,master-klass-po-sozdaniyu-travyanykh-sborov,"Сбор, баланс и составление персональных травяных миксов.",f,20,2026-02-17 11:27:03.159381+00,37
40,Мастер-класс по арт-интуитивной живописи,t,2026-02-17 11:27:03.16066+00,master-klass-po-art-intuitivnoy-zhivopisi,"Творческий процесс через цвет, форму и интуитивный жест.",f,30,2026-02-17 11:27:03.160666+00,37
41,Wild-wellness,t,2026-02-17 11:27:03.161722+00,wild-wellness,Форматы восстановления в природе с телесными и дыхательными практиками.,f,50,2026-02-17 11:27:03.161729+00,
42,Игра Лила,t,2026-02-17 11:27:03.162725+00,igra-lila,Глубинная трансформационная игра с сопровождением фасилитатора.,f,60,2026-02-17 11:27:03.162731+00,
43,Авторские программы,t,2026-02-17 11:27:03.163723+00,avtorskie-programmy,Сценарные программы с глубокой настройкой под запрос группы или участника.,t,70,2026-02-17 11:27:03.163729+00,
45,Программа «Глубинная тишина»,t,2026-02-17 11:27:03.165189+00,programma-glubinnaya-tishina,"Практики тишины, внимания и глубокой перезагрузки.",f,20,2026-02-17 11:27:03.165194+00,43
