id,title,category,description,time_start,time_end,price,color,order,day_id,service_id,image
554,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,16:00:00,17:00:00,5269,#6BA368,1,453,34,
555,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,18:00:00,19:00:00,1474,#A68BFF,2,453,,
556,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,14:00:00,15:30:00,4339,#6BA368,0,454,34,
557,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,11:30:00,3096,#4FB3BF,0,455,34,
558,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,10:00:00,11:30:00,3618,#6BA368,0,456,34,
559,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,12:00:00,13:30:00,2998,#E9B949,1,456,43,
560,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,13:00:00,14:30:00,1726,#A68BFF,0,457,,
561,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,15:00:00,17:00:00,3740,#E9B949,1,457,43,
562,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",09:00:00,10:00:00,2930,#7AA2F7,0,458,37,
563,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",11:00:00,13:00:00,2466,#C88B3A,1,458,,
564,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",13:00:00,15:00:00,1593,#C88B3A,2,458,,
565,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,09:00:00,11:00:00,3266,#E9B949,0,459,43,
566,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",11:00:00,12:00:00,1676,#C88B3A,1,459,,
567,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,13:00:00,14:30:00,3369,#E9B949,2,459,43,
568,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,14:30:00,4655,#6BA368,0,460,34,
569,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,17:00:00,4293,#6BA368,1,460,34,
570,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,09:00:00,11:00:00,1075,#A68BFF,0,461,,
571,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,11:00:00,13:00:00,1150,#A68BFF,1,461,,
572,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,14:30:00,4754,#6BA368,2,461,34,
573,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,09:00:00,11:00:00,4488,#6BA368,0,462,34,
574,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,11:00:00,13:00:00,5244,#6BA368,1,462,34,
575,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,16:30:00,3771,#6BA368,0,463,34,
576,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,17:00:00,19:00:00,4276,#6BA368,1,463,34,
577,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,14:00:00,15:30:00,1270,#A68BFF,0,464,,
578,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,16:00:00,17:00:00,5287,#6BA368,1,464,34,
579,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",18:00:00,19:00:00,1896,#7AA2F7,2,464,37,
580,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,11:00:00,3793,#4FB3BF,0,465,34,
581,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",09:00:00,10:30:00,3020,#7AA2F7,0,466,37,
582,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",11:00:00,13:00:00,2314,#7AA2F7,1,466,37,
583,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,08:00:00,10:00:00,2634,#4FB3BF,0,467,34,
584,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,12:00:00,2946,#4FB3BF,1,467,34,
585,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,12:00:00,13:30:00,2628,#4FB3BF,2,467,34,
586,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,14:00:00,15:30:00,3213,#6BA368,0,468,34,
587,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,16:00:00,18:00:00,2939,#4FB3BF,1,468,34,
588,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,10:00:00,11:00:00,1791,#A68BFF,0,469,,
589,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,12:00:00,13:30:00,3708,#4FB3BF,1,469,34,
590,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,14:00:00,16:00:00,1103,#A68BFF,2,469,,
591,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,15:00:00,5372,#6BA368,0,470,34,
592,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",13:00:00,14:00:00,2029,#7AA2F7,0,471,37,
593,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,12:00:00,13:00:00,4186,#6BA368,0,472,34,
594,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,14:00:00,15:00:00,987,#A68BFF,1,472,,
595,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,15:00:00,17:00:00,3057,#E9B949,0,473,43,
596,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,17:00:00,19:00:00,5146,#6BA368,1,473,34,
597,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,19:00:00,20:00:00,1171,#A68BFF,2,473,,
598,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,11:00:00,12:00:00,4584,#6BA368,0,474,34,
599,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,11:00:00,12:00:00,907,#A68BFF,0,475,,
600,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,08:00:00,09:00:00,3328,#6BA368,0,476,34,
601,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,09:00:00,10:00:00,1185,#A68BFF,0,477,,
602,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,11:00:00,12:30:00,2838,#4FB3BF,1,477,34,
603,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,12:00:00,3580,#4FB3BF,0,478,34,
604,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",12:00:00,13:00:00,2768,#7AA2F7,1,478,37,
605,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",14:00:00,15:00:00,1993,#7AA2F7,2,478,37,
606,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",14:00:00,15:30:00,2041,#C88B3A,0,479,,
607,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,08:00:00,10:00:00,3723,#4FB3BF,0,480,34,
608,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,10:00:00,11:00:00,3624,#E9B949,1,480,43,
609,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,13:00:00,14:00:00,3192,#E9B949,0,481,43,
610,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,17:00:00,5037,#6BA368,1,481,34,
611,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,17:00:00,18:30:00,3951,#6BA368,2,481,34,
612,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,16:00:00,5015,#6BA368,0,482,34,
613,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,17:00:00,18:00:00,951,#A68BFF,1,482,,
614,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,08:00:00,09:00:00,3140,#E9B949,0,483,43,
615,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",10:00:00,11:30:00,2785,#7AA2F7,1,483,37,
616,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,12:00:00,13:30:00,3440,#6BA368,2,483,34,
617,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,14:00:00,15:30:00,3343,#E9B949,0,484,43,
618,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",12:00:00,14:00:00,2938,#7AA2F7,0,485,37,
619,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,14:00:00,16:00:00,3396,#4FB3BF,1,485,34,
620,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",11:00:00,12:00:00,1319,#C88B3A,0,486,,
621,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,08:00:00,09:30:00,2517,#4FB3BF,0,487,34,
622,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,10:00:00,12:00:00,3776,#E9B949,1,487,43,
623,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,12:00:00,14:00:00,1061,#A68BFF,2,487,,
624,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",11:00:00,12:00:00,2966,#7AA2F7,0,488,37,
625,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,15:00:00,3362,#6BA368,1,488,34,
