id,title,slug,description,duration,price,order,service_id
45,Стандарт,standart,Групповой формат до 8 человек.,2.5 часа,4000,10,34
46,Индивидуально,individualno,Персональная экскурсия с индивидуальным темпом.,3 часа,7000,20,34
47,Разовое посещение,razovoe-poseshchenie,Один полный утренний блок.,90 минут,1500,10,35
48,Абонемент,abonement,Пакет из нескольких практик в течение месяца.,4 занятия,5000,20,35
49,Классическая,klassicheskaya,Классическая чайная встреча.,1.5 часа,3000,10,36
50,Расширенная,rasshirennaya,Расширенный формат с дополнительным сопровождением ведущего.,2.5 часа,5500,20,36
51,Базовый,bazovyy,"2 часа, до 5 человек.",2 часа,3500,10,38
52,Расширенный,rasshirennyy,"3 часа, индивидуально.",3 часа,6500,20,38
53,Групповой,gruppovoy,2 часа.,2 часа,3000,10,39
54,Индивидуальный,individualnyy,2.5 часа.,2.5 часа,5500,20,39
55,Групповой,gruppovoy-art,2 часа.,2 часа,3200,10,40
56,Индивидуальный,individualnyy-art,3 часа.,3 часа,6000,20,40
57,Прогулка,progulka,Базовый формат с проводником.,2 часа,3500,10,41
58,Полный день,polnyy-den,Расширенный дневной сценарий с несколькими блоками.,6 часов,9000,20,41
59,Групповая,gruppovaya,Формат для небольшой группы.,3 часа,4000,10,42
60,Индивидуальная,individualnaya,Персональный формат 1:1.,3 часа,8000,20,42
61,Однодневная,odnodnevnaya,Интенсив на один день.,1 день,12000,10,44
62,Двухдневная,dvukhdnevnaya,Расширенный формат с ночёвкой.,2 дня,22000,20,44
63,Индивидуально,individualno-silence,Персональный формат сопровождения.,1 день,18000,10,45
64,Мини-группа,mini-gruppa,Формат для 3-5 человек.,1 день,15000,20,45
65,Вечерняя встреча,vechernyaya-vstrecha,Камерный вечерний формат.,3 часа,5000,10,46
66,Полный формат,polnyy-format,Расширенный дневной круг.,1 день,9000,20,46
